date,Open,High,Low,Close,Volume,is_buyer_maker_sum,is_buyer_maker_pct
2024-01-01 0:00,42314,42603.2,42289.6,42503.5,8459.477,41778,0.473254945
2024-01-01 1:00,42503.5,42832,42462,42647.9,9043.411,40965,0.453398413
2024-01-01 2:00,42647.9,42676.9,42530,42620.4,4653.067,28065,0.534062797
2024-01-01 3:00,42620.5,42630,42270,42369.8,8119.88,48188,0.571320173
2024-01-01 4:00,42369.8,42439.8,42235.2,42436.6,6356.536,31386,0.461382413
2024-01-01 5:00,42436.6,42440,42207.9,42272.6,4139.557,30124,0.571558676
2024-01-01 6:00,42272.6,42461.3,42239.1,42423.3,3933.019,21581,0.434470124
2024-01-01 7:00,42423.4,42536,42421.7,42527,4455.05,25708,0.504375123
2024-01-01 8:00,42527.1,42597.3,42489.4,42588.2,3673.746,25122,0.529899386
2024-01-01 9:00,42588.2,42734.2,42570,42688.8,5779.875,33112,0.500672866
2024-01-01 10:00,42688.8,42795,42661.1,42727.7,5806.743,34585,0.513290491
2024-01-01 11:00,42727.7,42800,42638,42727.6,5965.038,39548,0.58623501
2024-01-01 12:00,42727.7,42825.2,42651.1,42682,6380.463,34205,0.505684422
2024-01-01 13:00,42682,42787.5,42647.9,42753.9,3269.775,20159,0.4574625
2024-01-01 14:00,42753.8,42755.8,42614.5,42645.6,5333.959,37614,0.572380735
2024-01-01 15:00,42645.5,42887.5,42617.6,42818,8176.63,41011,0.442849893
2024-01-01 16:00,42818,42898.9,42693.1,42759.7,7126.615,44562,0.519709834
2024-01-01 17:00,42759.7,42860.8,42734.8,42847,3411.019,23208,0.476403572
2024-01-01 18:00,42847,43268,42847,43148,18895.526,88266,0.477668642
2024-01-01 19:00,43148,43593.2,43133.3,43556.2,17037.283,79468,0.46395731
2024-01-01 20:00,,,,,,,
2024-01-01 21:00,,,,,,,
2024-01-01 22:00,,,,,,,
2024-01-01 23:00,,,,,,,
2024-01-02 0:00,,,,,,,
2024-01-02 1:00,,,,,,,
2024-01-02 2:00,,,,,,,
2024-01-02 3:00,,,,,,,
2024-01-02 4:00,,,,,,,
2024-01-02 5:00,,,,,,,
2024-01-02 6:00,,,,,,,
2024-01-02 7:00,,,,,,,
2024-01-02 8:00,,,,,,,
2024-01-02 9:00,,,,,,,
2024-01-02 10:00,,,,,,,
2024-01-02 11:00,,,,,,,
2024-01-02 12:00,,,,,,,
2024-01-02 13:00,,,,,,,
2024-01-02 14:00,,,,,,,
2024-01-02 15:00,,,,,,,
2024-01-02 16:00,,,,,,,
2024-01-02 17:00,,,,,,,
2024-01-02 18:00,,,,,,,
2024-01-02 19:00,,,,,,,
2024-01-02 20:00,,,,,,,
2024-01-02 21:00,,,,,,,
2024-01-02 22:00,,,,,,,
2024-01-02 23:00,,,,,,,
2024-01-03 0:00,,,,,,,
2024-01-03 1:00,,,,,,,
2024-01-03 2:00,,,,,,,
2024-01-03 3:00,,,,,,,
2024-01-03 4:00,,,,,,,
2024-01-03 5:00,,,,,,,
2024-01-03 6:00,,,,,,,
2024-01-03 7:00,,,,,,,
2024-01-03 8:00,,,,,,,
2024-01-03 9:00,,,,,,,
2024-01-03 10:00,,,,,,,
2024-01-03 11:00,,,,,,,
2024-01-03 12:00,,,,,,,
2024-01-03 13:00,,,,,,,
2024-01-03 14:00,,,,,,,
2024-01-03 15:00,,,,,,,
2024-01-03 16:00,,,,,,,
2024-01-03 17:00,,,,,,,
2024-01-03 18:00,,,,,,,
2024-01-03 19:00,,,,,,,
2024-01-03 20:00,,,,,,,
2024-01-03 21:00,,,,,,,
2024-01-03 22:00,,,,,,,
2024-01-03 23:00,,,,,,,
2024-01-04 0:00,,,,,,,
2024-01-04 1:00,,,,,,,
2024-01-04 2:00,,,,,,,
2024-01-04 3:00,,,,,,,
2024-01-04 4:00,,,,,,,
2024-01-04 5:00,,,,,,,
2024-01-04 6:00,,,,,,,
2024-01-04 7:00,,,,,,,
2024-01-04 8:00,,,,,,,
2024-01-04 9:00,,,,,,,
2024-01-04 10:00,,,,,,,
2024-01-04 11:00,,,,,,,
2024-01-04 12:00,,,,,,,
2024-01-04 13:00,,,,,,,
2024-01-04 14:00,,,,,,,
2024-01-04 15:00,,,,,,,
2024-01-04 16:00,,,,,,,
2024-01-04 17:00,,,,,,,
2024-01-04 18:00,,,,,,,
2024-01-04 19:00,,,,,,,
2024-01-04 20:00,,,,,,,
2024-01-04 21:00,,,,,,,
2024-01-04 22:00,,,,,,,
2024-01-04 23:00,,,,,,,
2024-01-05 0:00,,,,,,,
2024-01-05 1:00,,,,,,,
2024-01-05 2:00,,,,,,,
2024-01-05 3:00,,,,,,,
2024-01-05 4:00,,,,,,,
2024-01-05 5:00,,,,,,,
2024-01-05 6:00,,,,,,,
2024-01-05 7:00,,,,,,,
2024-01-05 8:00,,,,,,,
2024-01-05 9:00,,,,,,,
2024-01-05 10:00,,,,,,,
2024-01-05 11:00,,,,,,,
2024-01-05 12:00,,,,,,,
2024-01-05 13:00,,,,,,,
2024-01-05 14:00,,,,,,,
2024-01-05 15:00,,,,,,,
2024-01-05 16:00,,,,,,,
2024-01-05 17:00,,,,,,,
2024-01-05 18:00,,,,,,,
2024-01-05 19:00,,,,,,,
2024-01-05 20:00,,,,,,,
2024-01-05 21:00,,,,,,,
2024-01-05 22:00,,,,,,,
2024-01-05 23:00,,,,,,,
2024-01-06 0:00,,,,,,,
2024-01-06 1:00,,,,,,,
2024-01-06 2:00,,,,,,,
2024-01-06 3:00,,,,,,,
2024-01-06 4:00,,,,,,,
2024-01-06 5:00,,,,,,,
2024-01-06 6:00,,,,,,,
2024-01-06 7:00,,,,,,,
2024-01-06 8:00,,,,,,,
2024-01-06 9:00,,,,,,,
2024-01-06 10:00,,,,,,,
2024-01-06 11:00,,,,,,,
2024-01-06 12:00,,,,,,,
2024-01-06 13:00,,,,,,,
2024-01-06 14:00,,,,,,,
2024-01-06 15:00,,,,,,,
2024-01-06 16:00,,,,,,,
2024-01-06 17:00,,,,,,,
2024-01-06 18:00,,,,,,,
2024-01-06 19:00,,,,,,,
2024-01-06 20:00,,,,,,,
2024-01-06 21:00,,,,,,,
2024-01-06 22:00,,,,,,,
2024-01-06 23:00,,,,,,,
2024-01-07 0:00,,,,,,,
2024-01-07 1:00,,,,,,,
2024-01-07 2:00,,,,,,,
2024-01-07 3:00,,,,,,,
2024-01-07 4:00,,,,,,,
2024-01-07 5:00,,,,,,,
2024-01-07 6:00,,,,,,,
2024-01-07 7:00,,,,,,,
2024-01-07 8:00,,,,,,,
2024-01-07 9:00,,,,,,,
2024-01-07 10:00,,,,,,,
2024-01-07 11:00,,,,,,,
2024-01-07 12:00,,,,,,,
2024-01-07 13:00,,,,,,,
2024-01-07 14:00,,,,,,,
2024-01-07 15:00,,,,,,,
2024-01-07 16:00,,,,,,,
2024-01-07 17:00,,,,,,,
2024-01-07 18:00,,,,,,,
2024-01-07 19:00,,,,,,,
2024-01-07 20:00,,,,,,,
2024-01-07 21:00,,,,,,,
2024-01-07 22:00,,,,,,,
2024-01-07 23:00,,,,,,,
2024-01-08 0:00,,,,,,,
2024-01-08 1:00,,,,,,,
2024-01-08 2:00,,,,,,,
2024-01-08 3:00,,,,,,,
2024-01-08 4:00,,,,,,,
2024-01-08 5:00,,,,,,,
2024-01-08 6:00,,,,,,,
2024-01-08 7:00,,,,,,,
2024-01-08 8:00,,,,,,,
2024-01-08 9:00,,,,,,,
2024-01-08 10:00,,,,,,,
2024-01-08 11:00,,,,,,,
2024-01-08 12:00,,,,,,,
2024-01-08 13:00,,,,,,,
2024-01-08 14:00,,,,,,,
2024-01-08 15:00,,,,,,,
2024-01-08 16:00,,,,,,,
2024-01-08 17:00,,,,,,,
2024-01-08 18:00,,,,,,,
2024-01-08 19:00,,,,,,,
2024-01-08 20:00,,,,,,,
2024-01-08 21:00,,,,,,,
2024-01-08 22:00,,,,,,,
2024-01-08 23:00,,,,,,,
2024-01-09 0:00,,,,,,,
2024-01-09 1:00,,,,,,,
2024-01-09 2:00,,,,,,,
2024-01-09 3:00,,,,,,,
2024-01-09 4:00,,,,,,,
2024-01-09 5:00,,,,,,,
2024-01-09 6:00,,,,,,,
2024-01-09 7:00,,,,,,,
2024-01-09 8:00,,,,,,,
2024-01-09 9:00,,,,,,,
2024-01-09 10:00,,,,,,,
2024-01-09 11:00,,,,,,,
2024-01-09 12:00,,,,,,,
2024-01-09 13:00,,,,,,,
2024-01-09 14:00,,,,,,,
2024-01-09 15:00,,,,,,,
2024-01-09 16:00,,,,,,,
2024-01-09 17:00,,,,,,,
2024-01-09 18:00,,,,,,,
2024-01-09 19:00,,,,,,,
2024-01-09 20:00,,,,,,,
2024-01-09 21:00,,,,,,,
2024-01-09 22:00,,,,,,,
2024-01-09 23:00,,,,,,,
2024-01-10 0:00,,,,,,,
2024-01-10 1:00,,,,,,,
2024-01-10 2:00,,,,,,,
2024-01-10 3:00,,,,,,,
2024-01-10 4:00,,,,,,,
2024-01-10 5:00,,,,,,,
2024-01-10 6:00,,,,,,,
2024-01-10 7:00,,,,,,,
2024-01-10 8:00,,,,,,,
2024-01-10 9:00,,,,,,,
2024-01-10 10:00,,,,,,,
2024-01-10 11:00,,,,,,,
2024-01-10 12:00,,,,,,,
2024-01-10 13:00,,,,,,,
2024-01-10 14:00,,,,,,,
2024-01-10 15:00,,,,,,,
2024-01-10 16:00,,,,,,,
2024-01-10 17:00,,,,,,,
2024-01-10 18:00,,,,,,,
2024-01-10 19:00,,,,,,,
2024-01-10 20:00,,,,,,,
2024-01-10 21:00,,,,,,,
2024-01-10 22:00,,,,,,,
2024-01-10 23:00,,,,,,,
2024-01-11 0:00,,,,,,,
2024-01-11 1:00,,,,,,,
2024-01-11 2:00,,,,,,,
2024-01-11 3:00,,,,,,,
2024-01-11 4:00,,,,,,,
2024-01-11 5:00,,,,,,,
2024-01-11 6:00,,,,,,,
2024-01-11 7:00,,,,,,,
2024-01-11 8:00,,,,,,,
2024-01-11 9:00,,,,,,,
2024-01-11 10:00,,,,,,,
2024-01-11 11:00,,,,,,,
2024-01-11 12:00,,,,,,,
2024-01-11 13:00,,,,,,,
2024-01-11 14:00,,,,,,,
2024-01-11 15:00,,,,,,,
2024-01-11 16:00,,,,,,,
2024-01-11 17:00,,,,,,,
2024-01-11 18:00,,,,,,,
2024-01-11 19:00,,,,,,,
2024-01-11 20:00,,,,,,,
2024-01-11 21:00,,,,,,,
2024-01-11 22:00,,,,,,,
2024-01-11 23:00,,,,,,,
2024-01-12 0:00,,,,,,,
2024-01-12 1:00,,,,,,,
2024-01-12 2:00,,,,,,,
2024-01-12 3:00,,,,,,,
2024-01-12 4:00,,,,,,,
2024-01-12 5:00,,,,,,,
2024-01-12 6:00,,,,,,,
2024-01-12 7:00,,,,,,,
2024-01-12 8:00,,,,,,,
2024-01-12 9:00,,,,,,,
2024-01-12 10:00,,,,,,,
2024-01-12 11:00,,,,,,,
2024-01-12 12:00,,,,,,,
2024-01-12 13:00,,,,,,,
2024-01-12 14:00,,,,,,,
2024-01-12 15:00,,,,,,,
2024-01-12 16:00,,,,,,,
2024-01-12 17:00,,,,,,,
2024-01-12 18:00,,,,,,,
2024-01-12 19:00,,,,,,,
2024-01-12 20:00,,,,,,,
2024-01-12 21:00,,,,,,,
2024-01-12 22:00,,,,,,,
2024-01-12 23:00,,,,,,,
2024-01-13 0:00,,,,,,,
2024-01-13 1:00,,,,,,,
2024-01-13 2:00,,,,,,,
2024-01-13 3:00,,,,,,,
2024-01-13 4:00,,,,,,,
2024-01-13 5:00,,,,,,,
2024-01-13 6:00,,,,,,,
2024-01-13 7:00,,,,,,,
2024-01-13 8:00,,,,,,,
2024-01-13 9:00,,,,,,,
2024-01-13 10:00,,,,,,,
2024-01-13 11:00,,,,,,,
2024-01-13 12:00,,,,,,,
2024-01-13 13:00,,,,,,,
2024-01-13 14:00,,,,,,,
2024-01-13 15:00,,,,,,,
2024-01-13 16:00,,,,,,,
2024-01-13 17:00,,,,,,,
